"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.0337715561351043,0.0149259962216241,0.0511484232017344,"noAFM","2050"
"RCP2.6_SFM",0.0337665976376283,0.0149231471737058,0.0511421228120892,"noAFM","2050"
"REF_MFM",0.029655357950604,0.0113706076193648,0.0452175633581559,"noAFM","2050"
"REF_SFM",0.0296609455837484,0.011377013082506,0.0452252266227668,"noAFM","2050"
"RCP2.6_MFM",0.0317017650963173,0.0130146148556765,0.0475676989068209,"AFMfree","2050"
"RCP2.6_SFM",0.0316974576661621,0.0133686628624083,0.0475675598569044,"AFMfree","2050"
"REF_MFM",0.0278281348113553,0.00977086500895019,0.0420635112565415,"AFMfree","2050"
"REF_SFM",0.0280263849315298,0.0103292039825232,0.0424355718123,"AFMfree","2050"
"RCP2.6_MFM",0.0316190856002296,0.0128929134063696,0.0474640849645812,"AFM25","2050"
"RCP2.6_SFM",0.0317739125718514,0.0136518898958938,0.0477140646739142,"AFM25","2050"
"REF_MFM",0.0274526500749428,0.00952711440164104,0.041463212170077,"AFM25","2050"
"REF_SFM",0.0277351030828872,0.0103130029226524,0.0419255591207655,"AFM25","2050"
"RCP2.6_MFM",0.0314136442596562,0.0127871807189776,0.0472074452599613,"AFM50","2050"
"RCP2.6_SFM",0.0317130505103528,0.0140384912287978,0.047611882858878,"AFM50","2050"
"REF_MFM",0.0273476328859284,0.00937264475437221,0.0413092574999134,"AFM50","2050"
"REF_SFM",0.0275880175494645,0.0105959506237822,0.0416816034459278,"AFM50","2050"
"RCP2.6_MFM",0.0313783885784573,0.0128071325916657,0.0471655545214928,"AFM75","2050"
"RCP2.6_SFM",0.0313141053297817,0.0144846342662197,0.0468694053075108,"AFM75","2050"
"REF_MFM",0.0270814067509121,0.00917733819518745,0.0408786795135347,"AFM75","2050"
"REF_SFM",0.0274292264992411,0.0110443717255493,0.0413144301249068,"AFM75","2050"
"RCP2.6_MFM",0.0312258875116435,0.0128027448680157,0.0469072767947471,"AFM100","2050"
"RCP2.6_SFM",0.0307556393121614,0.0150133206162841,0.0458188066038346,"AFM100","2050"
"REF_MFM",0.0269770843356404,0.00913268189546508,0.0407350490068063,"AFM100","2050"
"REF_SFM",0.0269135418433097,0.011521561977324,0.0403353261149268,"AFM100","2050"
